Species	Status
Gazella_rodleri	extinct
Gazella_rufina	extinct
Gazella_schlosseri	extinct
Gazella_setifensis	extinct
Gazella_sinensis	extinct
Gazella_soriae	extinct
Gazella_strylodondis	extinct
Gazella_subgutturosa	extant
Gazella_thomasi	extinct
Gazella_tingitana	extinct
Gazella_vanhoepeni	extinct
Gazella_yushensis	extinct
Gazellospira_gromovae	extinct
Gazellospira_torticornis	extinct
Gelocus_communis	extinct
Gelocus_gajensis	extinct
Gelocus_laubei	extinct
Gelocus_villebramarensis	extinct
Gelocus_whitworthi	extinct
Gentilicamelus_sternbergi	extinct
Gentrytragus_gentryi	extinct
Gentrytragus_thomasi	extinct
Georgiomeryx_georgialasi	extinct
Germanomeryx_fahlbuschi	extinct
Gigantocamelus_longipes	extinct
Gigantocamelus_spatula	extinct
Giraffa_attica	extinct
Giraffa_camelopardalis	extant
Giraffa_gracilis	extinct
Giraffa_jumae	extinct
Giraffa_pomeli	extinct
Giraffa_priscilla	extinct
Giraffa_punjabiensis	extinct
Giraffa_pygmaea	extinct
Giraffa_stillei	extinct
Giraffokeryx_anatoliensis	extinct
Giraffokeryx_primaevus	extinct
Giraffokeryx_punjabiensis	extinct
Gobiocerus_mongolicus	extinct
Gobiomeryx_dubius	extinct
Gorgon_mediterraneus	extinct
Graecoryx_esterhazyi	extinct
Graecoryx_recticornis	extinct
Hallebune_krumbiegeli	extinct
Hanhaicerus_qii	extinct
Haplobunodon_muelleri	extinct
Haploidoceros_mediterraneus	extinct
Haplomeryx_euzetensis	extinct
Haplomeryx_picteti	extinct
Haplomeryx_zitteli	extinct
Helicoportax_praecox	extinct
Helicoportax_tragelaphoides	extinct
Helicotragus_rotundicornis	extinct
Helladorcas_geraadsi	extinct
Helladotherium_duvernoyi	extinct
Helohyus_lentus	extinct
Helohyus_milleri	extinct
Helohyus_plicodon	extinct
Hemiauchenia_blancoensis	extinct
Hemiauchenia_gracilis	extinct
Hemiauchenia_macrocephala	extinct
Hemiauchenia_minima	extinct
Hemibos_acuticornis	extinct
Hemibos_galerianus	extinct
Hemibos_gracilis	extinct
Hemimeryx_blanfordi	extinct
Hemimeryx_pusillus	extinct
Hemitragus_bonali	extinct
Hemitragus_orientalis	extinct
Hendryomeryx_defordi	extinct
Hendryomeryx_esulcatus	extinct
Hendryomeryx_wilsoni	extinct
Heptacodon_curtus	extinct
Heptacodon_occidentale	extinct
Heptacodon_pellionis	extinct
Heptacodon_quadratus	extinct
Hesperhys_pinensis	extinct
Hesperhys_vagrans	extinct
Hesperidoceras_merlae	extinct
Hesperocamelus_stylodon	extinct
Heteromeryx_dispar	extinct
Heteroprox_anatoliensis	extinct
Heteroprox_eggeri	extinct
Heteroprox_larteti	extinct
Heteroprox_moralesi	extinct
Hexacodus_pelodes	extinct
Hexacodus_uintensis	extinct
Hexameryx_simpsoni	extinct
Hexaprotodon_afarensis	extinct
Hexaprotodon_bruneti	extinct
Hexaprotodon_crusafonti	extinct
Hexaprotodon_garyam	extinct
Hexaprotodon_imagunculus	extinct
Hexaprotodon_iravaticus	extinct
Hexaprotodon_mingoz	extinct
Hexaprotodon_pantanellii	extinct
Hexaprotodon_sivajavanicus	extinct
Hexaprotodon_sivalensis	extinct
Hexobelomeryx_fricki	extinct
Hezhengia_bohlini	extinct
Hippohyus_tatroti	extinct
Hippopotamodon_antiquus	extinct
Hippopotamodon_etruscus	extinct
Hippopotamodon_haydeni	extinct
Hippopotamodon_major	extinct
Hippopotamodon_sivalense	extinct
Hippopotamodon_ultimus	extinct
Hippopotamus_aethiopicus	extinct
Hippopotamus_amphibius	extant
Hippopotamus_antiquus	extinct
Hippopotamus_behemoth	extinct
Hippopotamus_dulu	extinct
Hippopotamus_gorgops	extinct
Hippopotamus_incognitus	extinct
Hippopotamus_kaisensis	extinct
Hippopotamus_karumensis	extinct
Hippopotamus_protamphibius	extinct
Hippopotamus_shungurensis	extinct
Hippopotamus_sirensis	extinct
Hippotragus_cookei	extinct
Hippotragus_equinus	extant
Hippotragus_gigas	extinct
